name,year,developer,publisher,film,rank,platform,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales
Ratatouille,2007,"Asobo Studio (PS2, Wii, GCN, Xbox, PC, OS X)",THQ,Ratatouille,3853,PS3,Action,0.09,0.32,0.0,0.11,0.52
Ratatouille,2007,"Asobo Studio (PS2, Wii, GCN, Xbox, PC, OS X)",THQ,Ratatouille,3859,Wii,Action,0.44,0.04,0.0,0.04,0.52
Ratatouille,2007,"Asobo Studio (PS2, Wii, GCN, Xbox, PC, OS X)",THQ,Ratatouille,6385,X360,Action,0.23,0.02,0.0,0.02,0.27
Ratatouille,2007,"Asobo Studio (PS2, Wii, GCN, Xbox, PC, OS X)",THQ,Ratatouille,7705,GBA,Action,0.14,0.05,0.0,0.0,0.2
Ratatouille,2007,"Asobo Studio (PS2, Wii, GCN, Xbox, PC, OS X)",THQ,Ratatouille,9027,GC,Action,0.11,0.03,0.0,0.0,0.14
Ratatouille,2007,"Asobo Studio (PS2, Wii, GCN, Xbox, PC, OS X)",THQ,Ratatouille,14398,PC,Action,0.01,0.01,0.0,0.0,0.03
Ratatouille: Food Frenzy,2007,Helixe,THQ,Ratatouille,6096,DS,Puzzle,0.26,0.0,0.0,0.02,0.29
Reign of Fire,2002,Kuju Entertainment,BAM! Entertainment,Reign of Fire,6389,PS2,Shooter,0.13,0.1,0.0,0.03,0.27
Reign of Fire,2002,Kuju Entertainment,BAM! Entertainment,Reign of Fire,10366,GC,Shooter,0.08,0.02,0.0,0.0,0.11
Reign of Fire,2002,Kuju Entertainment,BAM! Entertainment,Reign of Fire,10750,XB,Shooter,0.07,0.02,0.0,0.0,0.1
Reign of Fire,2002,Kuju Entertainment,BAM! Entertainment,Reign of Fire,13229,GBA,Shooter,0.03,0.01,0.0,0.0,0.05
Rocky Balboa,2007,Ubisoft Montreal,Ubisoft,Rocky Balboa,10297,PSP,Sports,0.01,0.09,0.0,0.01,0.11
The Scorpion King: Rise of the Akkadian,2002,"Point of View, Inc.",Universal Interactive,The Scorpion King,7003,PS2,Action,0.11,0.09,0.0,0.03,0.23
The Scorpion King: Rise of the Akkadian,2002,"Point of View, Inc.",Universal Interactive,The Scorpion King,10271,GC,Action,0.08,0.02,0.0,0.0,0.11
Shark Tale,2004,Edge of Reality (console),Activision,Shark Tale,2743,PS2,Action,0.37,0.29,0.0,0.1,0.75
Shark Tale,2004,Edge of Reality (console),Activision,Shark Tale,2973,GBA,Action,0.49,0.18,0.0,0.01,0.68
Shark Tale,2004,Edge of Reality (console),Activision,Shark Tale,5945,GC,Action,0.23,0.06,0.0,0.01,0.3
Shark Tale,2004,Edge of Reality (console),Activision,Shark Tale,7661,XB,Action,0.15,0.04,0.0,0.01,0.2
Shrek,2001,Digital Illusions CE,TDK Mediactive,Shrek,5264,XB,Platform,0.25,0.1,0.0,0.01,0.36
Shrek: Hassle at the Castle,2002,"Tose Co., Ltd.",TDK Mediactive,Shrek,3084,GBA,Action,0.47,0.17,0.0,0.01,0.66
Shrek Super Party,2002,Mass Media,TDK Mediactive,Shrek,6059,PS2,Misc,0.14,0.11,0.0,0.04,0.29
Shrek Super Party,2002,Mass Media,TDK Mediactive,Shrek,9487,XB,Misc,0.1,0.03,0.0,0.0,0.13
