name,year,developer,publisher,film,rank,platform,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales
Happy Feet,2006,Artificial Mind and Movement,Midway Games,Happy Feet,9257,Wii,Action,0.12,0.0,0.0,0.01,0.14
Harry Potter and the Goblet of Fire,2005,EA UK,Electronic Arts,Harry Potter and the Goblet of Fire,3122,PS2,Action,0.54,0.02,0.0,0.09,0.65
Harry Potter and the Goblet of Fire,2005,EA UK,Electronic Arts,Harry Potter and the Goblet of Fire,3322,GBA,Action,0.44,0.16,0.0,0.01,0.61
Harry Potter and the Goblet of Fire,2005,EA UK,Electronic Arts,Harry Potter and the Goblet of Fire,4640,GC,Action,0.32,0.08,0.0,0.01,0.42
Harry Potter and the Goblet of Fire,2005,EA UK,Electronic Arts,Harry Potter and the Goblet of Fire,6825,DS,Action,0.21,0.02,0.0,0.02,0.24
Harry Potter and the Goblet of Fire,2005,EA UK,Electronic Arts,Harry Potter and the Goblet of Fire,6976,XB,Action,0.18,0.05,0.0,0.01,0.23
Harry Potter and the Goblet of Fire,2005,EA UK,Electronic Arts,Harry Potter and the Goblet of Fire,7682,PSP,Action,0.17,0.01,0.0,0.02,0.2
Harry Potter and the Order of the Phoenix,2007,EA UK,Electronic Arts,Harry Potter and the Order of the Phoenix,2442,DS,Action,0.28,0.47,0.0,0.1,0.85
Harry Potter and the Order of the Phoenix,2007,EA UK,Electronic Arts,Harry Potter and the Order of the Phoenix,4080,Wii,Action,0.38,0.06,0.0,0.04,0.49
Harry Potter and the Order of the Phoenix,2007,EA UK,Electronic Arts,Harry Potter and the Order of the Phoenix,5133,PSP,Action,0.1,0.17,0.0,0.1,0.37
Harry Potter and the Order of the Phoenix,2007,EA UK,Electronic Arts,Harry Potter and the Order of the Phoenix,5892,X360,Action,0.24,0.04,0.0,0.02,0.3
Harry Potter and the Order of the Phoenix,2007,EA UK,Electronic Arts,Harry Potter and the Order of the Phoenix,6353,PS2,Action,0.13,0.1,0.0,0.03,0.27
Harry Potter and the Order of the Phoenix,2007,EA UK,Electronic Arts,Harry Potter and the Order of the Phoenix,6744,PS3,Action,0.18,0.04,0.0,0.03,0.25
Harry Potter and the Order of the Phoenix,2007,EA UK,Electronic Arts,Harry Potter and the Order of the Phoenix,13876,PC,Action,0.0,0.03,0.0,0.01,0.04
Harry Potter and the Half-Blood Prince,2009,EA Bright Light,Electronic Arts,Harry Potter and the Half-Blood Prince,2659,Wii,Action,0.28,0.4,0.0,0.09,0.77
Harry Potter and the Half-Blood Prince,2009,EA Bright Light,Electronic Arts,Harry Potter and the Half-Blood Prince,3136,PS2,Action,0.13,0.07,0.0,0.44,0.64
Harry Potter and the Half-Blood Prince,2009,EA Bright Light,Electronic Arts,Harry Potter and the Half-Blood Prince,3204,DS,Action,0.21,0.35,0.0,0.07,0.63
Harry Potter and the Half-Blood Prince,2009,EA Bright Light,Electronic Arts,Harry Potter and the Half-Blood Prince,3928,PSP,Action,0.18,0.21,0.0,0.12,0.51
Harry Potter and the Half-Blood Prince,2009,EA Bright Light,Electronic Arts,Harry Potter and the Half-Blood Prince,5398,PS3,Action,0.15,0.13,0.0,0.06,0.34
Harry Potter and the Half-Blood Prince,2009,EA Bright Light,Electronic Arts,Harry Potter and the Half-Blood Prince,5654,X360,Action,0.17,0.12,0.0,0.03,0.32
Harry Potter and the Half-Blood Prince,2009,EA Bright Light,Electronic Arts,Harry Potter and the Half-Blood Prince,14416,PC,Action,0.0,0.03,0.0,0.01,0.03
High School Musical: Makin' the Cut!,2007,A2M,Disney Interactive Studios,High School Musical,741,DS,Puzzle,1.06,0.91,0.0,0.23,2.2
High School Musical 2: Work This Out!,2008,Artificial Mind and Movement,Disney Interactive Studios,High School Musical 2,1775,DS,Misc,0.5,0.52,0.0,0.13,1.15
How to Train Your Dragon,2010,Etranges Libellules,Activision,How to Train Your Dragon,3737,DS,Action,0.32,0.17,0.0,0.05,0.54
How to Train Your Dragon,2010,Etranges Libellules,Activision,How to Train Your Dragon,4531,Wii,Action,0.24,0.15,0.0,0.04,0.43
How to Train Your Dragon,2010,Etranges Libellules,Activision,How to Train Your Dragon,8049,PS3,Action,0.12,0.04,0.0,0.02,0.18
How to Train Your Dragon,2010,Etranges Libellules,Activision,How to Train Your Dragon,9145,X360,Action,0.11,0.02,0.0,0.01,0.14
Hulk,2003,Radical Entertainment,Universal Interactive,Hulk,1953,PS2,Action,0.52,0.41,0.0,0.14,1.06
Hulk,2003,Radical Entertainment,Universal Interactive,Hulk,5471,XB,Action,0.25,0.07,0.0,0.01,0.33
Hulk,2003,Radical Entertainment,Universal Interactive,Hulk,7893,GC,Action,0.15,0.04,0.0,0.01,0.19
