Game,Year,Developer,Publisher,Film
ANightmareonElmStreet,,Rare,LJN,NightmareonElmStreetfranchise
NoEscape,,BitsCorporation,SonyImagesoft,NoEscape
OpenSeason,,UbisoftMontreal,Ubisoft,OpenSeason
OvertheHedge,,VicariousVisions,Activision,OvertheHedge
OvertheHedgeHammyGoesNuts,,VicariousVisionsGameBoyAdvanceversion,Activision,OvertheHedge
PacificRim,,Yukes,Yukes,PacificRim
ThePagemaster,,ProbeSoftwareLtdGenesisSNESGameBoy,FoxInteractiveGenesisSNESGameBoy,ThePagemaster
Pandorum,,ArtificialLifeInc,ArtificialLifeInc,Pandorum
PaulMcCartneysGiveMyRegardstoBroadStreet,,ConceptSoftwareLtd,ArgusPressSoftware,GiveMyRegardstoBroadStreet
PhantomFighter,,Marionette,JPPonyCanyon,MrVampire
AcrossthendDimension,,HighImpactGames,DisneyInteractiveStudios,PhineasandFerbtheMovieAcrossthendDimension
PigletsBigGame,,DokiDenkiStudio,GothamGamesGCNPS,PigletsBigMovie
Pinocchio,,VirginInteractiveEntertainmentSNESMegaDrive,SNESNintendoCapcomJapanonly,Pinocchio
AtWorldsEnd,,Eurocom,DisneyInteractiveStudios,PiratesoftheCaribbeanDeadMansChestandPiratesoftheCaribbeanAtWorldsEnd
DeadMansChest,,GriptoniteGames,BuenaVistaGames,PiratesoftheCaribbeanDeadMansChest
TheCurseoftheBlackPearl,,PocketStudios,DisneyInteractiveTDKMediactive,PiratesoftheCaribbeanTheCurseoftheBlackPearl
PlanfromOuterSpace,,GremlinGraphics,GremlinGraphicsEuropeKonamiUSA,PlanfromOuterSpace
PlanetoftheApes,,VisiwarePCandPlayStation,Ubisoft,PlanetoftheApes
PlanetoftheApesLastFrontier,,TheImaginatiStudios,FOXNEXTGames,PlanetoftheApesfranchise
Platoon,,OceanSoftware,DataEastSunsoftNES,Platoon
ThePolarExpress,,BlueTongueEntertainment,THQ,ThePolarExpress
Poltergeistvideogame,,Tandy,Tandy,Poltergeist
Porkys,,nan,thCenturyFox,Porkys
Predator,,SoftwareStudios,Activision,Predator
Predator,,OxfordMobius,ImageWorks,Predator
ThePunisher,,Volition,THQ,ThePunisher
PuppetMasterTheGame,,OctoberGames,FullMoonFeaturesOctoberGames,PuppetMasterfranchise
PussinBoots,,BlitzGames,THQ,PussinBoots
QuantumofSolace,,Treyarcht,Activision,CasinoRoyaleandQuantumofSolace
QuestforCamelot,,TitusInteractive,TitusInteractive,QuestforCamelot
RIPDTheGame,,SaberInteractive,AtlusUSA,RIPD
RaidersoftheLostArk,,AtariInc,AtariInc,RaidersoftheLostArk
Rambo,,PlatinumProductions,OceanSoftware,RamboFirstBloodPartII
FirstBloodPartII,,Sega,Sega,RamboFirstBloodPartII
RamboIII,,OceanSoftwareSegaTaito,OceanTaitoSega,RamboIII
Rango,,BehaviourInteractive,ElectronicArts,Rango
,,SonyComputerEntertainment,RedChilliesEntertainment,RaOne
Ratatouille,,AsoboStudioPSWiiGCNXboxPCOSX,THQ,Ratatouille
RatatouilleFoodFrenzy,,Helixe,THQ,Ratatouille
RatchetClank,,InsomniacGames,SonyComputerEntertainment,RatchetClank
ReignofFire,,KujuEntertainment,BAMEntertainment,ReignofFire
ReservoirDogs,,VolatileGames,EidosInteractive,ReservoirDogs
ReturnoftheJediDeathStarBattle,,ParkerBrothers,ParkerBrothers,ReturnoftheJedi
RiseoftheGuardiansTheVideoGame,,TorusGames,DPublisher,RiseoftheGuardians
Ro,,CentauriProduction,nan,Rockpodvrak
PrinceofThieves,,SculpturedSoftwareBitsStudios,VirginGames,RobinHoodPrinceofThieves
RoboCop,,show,show,RoboCop
RoboCop,,SpecialFXAmigaAtariST,OceanSoftwareAmigaAtariST,RoboCop
RoboCop,,DigitalImageDesignAmiga,FlyingEdgeGenesis,RoboCop
RoboCop,,GluMobile,GluMobile,RoboCop
RoboCopRogueCity,,Teyon,Nacon,RoboCop
Robots,,Eurocomconsole,VivendiUniversalGamesu,Robots
TheRocketeer,,IronwindSoftware,Bandai,TheRocketeer
RockyBalboa,,UbisoftMontreal,Ubisoft,RockyBalboa
RockySuperActionBoxing,,Coleco,Coleco,RockyIII
TheRoom,,Newgrounds,Newgrounds,TheRoom
RudolphtheRedNosedReindeer,,HighVoltageSoftware,RedWagonGames,RudolphtheRedNosedReindeer
TheMovie,,AvalancheSoftwarePSN,THQ,RugratsinParisTheMovie
TheRugratsMovie,,SoftwareCreations,THQ,TheRugratsMovie
Saw,,ZombieStudios,Konami,Sawfilmfranchise
SawIIFleshBlood,,ZombieStudios,Konami,Sawfilmfranchise
ScanCommandJurassicPark,,KnowledgeAdventure,KnowledgeAdventure,JurassicParkIII
Scarface,,FusePoweredInc,nan,Scarface
ScarfaceMoneyPowerRespect,,FarSightStudios,VivendiGamesv,Scarface
ScarfaceTheWorldIsYours,,RadicalEntertainment,VivendiGamesw,Scarface
TheScorpionKingSwordofOsiris,,WayForwardTechnologies,UniversalInteractive,TheScorpionKing
TheScorpionKingRiseoftheAkkadian,,PointofViewInc,UniversalInteractive,TheScorpionKing
ScottPilgrimvstheWorldTheGame,,UbisoftMontrealPSNandXBLA,Ubisoft,ScottPilgrimvstheWorld
SDShinKamenRiderRumble,,BandaiNamcoEntertainment,BandaiNamcoEntertainment,ShinKamenRider
SevenSamuraiXX,,Dimps,Sammy,SevenSamurai
TheShadow,,OceanSoftware,OceanSoftware,TheShadow
SharkTale,,EdgeofRealityconsole,Activision,SharkTale
SharknadoTheVideoGame,,OtherOceanInteractive,MajescoEntertainment,SharknadoTheSecondOne
ShortCircuit,,OceanSoftware,nan,ShortCircuit
Shrek,,DigitalIllusionsCE,TDKMediactive,Shrek
ShrekFairyTaleFreakdown,,Prolific,TDKMediactive,Shrek
ShrekHassleattheCastle,,ToseCoLtd,TDKMediactive,Shrek
ShrekTreasureHunt,,TheCodeMonkeys,TDKMediactive,Shrek
ShrekSuperParty,,MassMedia,TDKMediactive,Shrek
Shrek,,Luxofluxcrossplatforming,Activision,Shrek
ShrekSuperSlam,,ShabaGamesPSGameCubeXbox,Activision,Shrek
ShrekForeverAfter,,PCPSXWii,Activision,ShrekForeverAfter
ShrektheThird,,StudiosShabaGamesXboxPC,Activision,ShrektheThird
ShrekOgresDronkeys,,WayForwardTechnologies,Activision,Shrek
TheSkyCrawlersInnocentAces,,ProjectAces,JPNamcoBandai,TheSkyCrawlers
SmallSoldiers,,DreamWorksInteractive,ElectronicArts,SmallSoldiers
TheSmurfs,,MagicPockets,Ubisoft,TheSmurfs
SpaceChimps,,RedtribePlayStationWiiandXbox,BrashEntertainment,SpaceChimps
SpaceJam,,SculpturedSoftware,AcclaimEntertainment,SpaceJam
ANewLegacy,,DigitalEclipse,DigitalEclipse,SpaceJamANewLegacy
SpeedRacerTheVideogame,,SidheInteractive,WarnerBrosGames,SpeedRacer
SpiderMan,,Treyarchx,Activision,SpiderMan
SpiderMan,,TreyarchPSXboxGameCube,Activision,SpiderMan
SpiderMan,,Treyarchy,Activision,SpiderMan
TheSpiderwickChronicles,,StormfrontStudios,VivendiGamesz,TheSpiderwickChronicles
SpongeBobHeroPants,,BehaviourInteractive,Activision,TheSpongeBobMovieSpongeOutofWater
TheSpongeBobSquarePantsMovie,,HeavyIronStudios,THQ,TheSpongeBobSquarePantsMovie
TheSpyWhoLovedMe,,TheKremlin,Domark,TheSpyWhoLovedMe
StarTrekGenerationsBeyondtheNexus,,AbsoluteEntertainment,AbsoluteEntertainment,StarTrekGenerations
StarTrekDAC,,NakedSkyEntertainmentBadRobotInteractive,ParamountDigitalEntertainment,StarTrek
StarTrekGenerations,,MicroProse,MicroProse,StarTrekGenerations
StarTrekHiddenEvil,,PrestoStudios,NAActivision,StarTrekInsurrection
StarTrekPhaserStrike,,MiltonBradley,MiltonBradley,StarTrekTheMotionPicture
StarWars,,AtariInc,AtariInc,StarWars
TheEmpireStrikesBack,,ParkerBrothers,ParkerBrothers,TheEmpireStrikesBack
,,BigApeProductions,LucasArts,
,,DavidAPalmerProductions,THQ,
,,TheCollective,LucasArts,
ReturnoftheJedi,,AtariInc,Atari,ReturnoftheJedi
Stargate,,ProbeEntertainment,AcclaimEntertainment,Stargate
StarshipTroopers,,Strangelite,EmpireInteractiveandDestineer,StarshipTroopers
StarshipTroopersTerranAscendancy,,BlueTongueEntertainment,HasbroInteractive,StarshipTroopers
TheMovie,,IncredibleTechnologies,Capcom,StreetFighter
TheSumofAllFears,,RedStormEntertainment,UbiSoft,TheSumofAllFears
SuperStarWars,,SculpturedSoftware,JVC,StarWars
SuperStarWarsReturnoftheJedi,,SculpturedSoftwareSNES,NAJVClaterrereleasedbyTHQSNES,ReturnoftheJedi
SuperStarWarsTheEmpireStrikesBack,,SculpturedSoftware,JVClaterrereleasedbyTHQSNES,TheEmpireStrikesBack
SupermanReturns,,EATiburon,ElectronicArts,SupermanReturns
SupermanReturnsFortressofSolitude,,SantaCruzGamesEATiburon,ElectronicArts,SupermanReturns
SurfsUp,,UbisoftMontrealUbisoftQuebecTotallyGamesPSuncredited,Ubisoft,SurfsUp
SweetHome,,Capcom,Capcom,SweetHome
TangledTheVideoGame,,DisneyInteractiveStudios,DisneyInteractiveStudios,Tangled
TasmaniaStory,,nan,NAFCI,TasmaniaStory
TheTerminator,,BethesdaSoftworks,BethesdaSoftworks,TheTerminator
JudgmentDay,,Midwayarcade,MidwayArcade,TerminatorJudgmentDay
RiseoftheMachines,,BlackOpsEntertainmentab,Atari,TerminatorRiseoftheMachines
TerminatorSalvation,,Grin,EquityGames,TerminatorSalvation
TheTexasChainsawMassacre,,nan,WizardVideo,TheTexasChainsawMassacrefilmseries
TheThing,,ComputerArtworks,BlackLabelGames,TheThing
ThorGodofThunder,,LiquidEntertainmentPSXbox,Sega,Thor
Timecop,,CryoInteractive,VictorEntertainment,Timecop
TMNT,,UbisoftMontreal,Ubisoft,TMNT
TimeStranger,,Kemco,nan,TokinoTabibitoTimeStranger
TomorrowNeverDies,,BlackOpsEntertainment,ElectronicArts,TomorrowNeverDies
TopGun,,OceanSoftware,nan,TopGun
TopGunTheSecondMission,,Konami,nan,TopGun
TopGunDangerZone,,DistinctiveSoftware,Konami,TopGun
TopGunFireAtWill,,SpectrumHolobyte,SpectrumHolobyte,TopGun
TopGunGutsandGlory,,DistinctiveSoftware,NAKonami,TopGun
TopGunHornetsNest,,SpectrumHolobyteandZipperInteractive,nan,TopGun
TopGunFirestorm,,FluidStudios,TitusInteractive,TopGun
TopGunCombatZones,,DigitalIntegration,TitusInteractive,TopGun
TopGunHardLock,,GamesandParamountInteractive,nan,TopGun
TotalRecall,,OceanSoftwareInterplayEntertainment,OceanSoftwareAcclaimEntertainment,TotalRecall
ToyStory,,TravellersTales,DisneyInteractive,ToyStory
ToyStoryBuzzLightyeartotheRescue,,TravellersTales,Activision,ToyStory
ToyStoryTheVideoGame,,AvalancheSoftwarePSWiiXboxMacOSXPC,DisneyInteractiveStudios,ToyStory
ToyStoryRacer,,TravellersTales,Activision,ToyStoryfranchise
Toys,,ImagineeringInc,AbsoluteEntertainment,Toys
TransformersAutobots,,VicariousVisions,Activision,Transformers
TransformersDecepticons,,VicariousVisions,Activision,Transformers
TransformersRevengeoftheFallenAutobots,,VicariousVisions,Activision,TransformersRevengeoftheFallen
TransformersRevengeoftheFallenDecepticons,,VicariousVisions,Activision,TransformersRevengeoftheFallen
DarkoftheMoon,,HighMoonStudiosac,Activisionad,TransformersDarkoftheMoon
RevengeoftheFallen,,Luxofluxae,Activision,TransformersRevengeoftheFallen
TransformersTheGame,,TravellersTales,Activision,Transformers
TreasurePlanetBattleatProcyon,,BarkingDogStudios,DisneyInteractive,TreasurePlanet
Tron,,BallyMidway,nan,Tron
TronEvolution,,PropagandaGames,DisneyInteractiveStudios,TronLegacy
TronRUNr,,SanzaruGames,DisneyInteractiveStudios,Tronfranchise
TrueLies,,BeamSoftware,AcclaimEntertainmentaf,TrueLies
TunnelRats,,ReplayStudios,BollAG,TunnelRats
UnJuegodeHuevos,,FabricationGames,ZeeboInc,UnaPelculadeHuevos
UnderworldTheEternalWar,,LuckyChickenGames,PlayIt,Underworld
TheUntouchables,,OceanSoftware,OceanSoftware,TheUntouchables
Up,,AsoboStudioPSPSPPC,THQ,Up
UunoTurhapuromuuttaamaalle,,PasiHytnen,Amersoft,UunoTurhapuromuuttaamaalle
VampireHunterD,,VictorInteractiveSoftware,VictorInteractiveSoftware,VampireHunterD
VanHelsing,,Saffire,VivendiUniversalGamesag,VanHelsing
AViewtoaKill,,Domark,Domark,AViewtoaKill
VirusItisAware,,CryoInteractive,CryoInteractive,Virus
WALLE,,HeavyIronStudiosPSXboxWii,THQ,WALLE
WallaceGromitTheCurseoftheWereRabbit,,FrontierDevelopments,Konami,WallaceGromitTheCurseoftheWereRabbit
WantedWeaponsofFate,,Grin,WarnerBrosInteractiveEntertainment,Wanted
WarGames,,Coleco,nan,WarGames
WarGamesDefcon,,InteractiveStudios,MGMInteractive,WarGames
Warlock,,RealtimeAssociates,AcclaimEntertainmentah,Warlockfilmseries
TheWarriors,,RockstarTorontoai,RockstarGames,TheWarriors
TheWarriorsStreetBrawl,,CXTM,ParamountDigitalEntertainment,TheWarriors
WatchmenTheEndIsNigh,,DeadlineGames,WarnerBrosInteractiveEntertainment,Watchmen
Waterworld,,OceanofAmericaVBSS,OceanSoftwareVBSNESGB,Waterworld
WaynesWorld,,GrayMatterIncSNESMegaDriveGenesis,ToyHeadquarters,WaynesWorld
WereBackADinosaursStory,,HiTechExpressionsSNESGameBoyMegaDriveGenesis,VisualConcepts,WereBackADinosaursStory
WheretheWildThingsAre,,GriptoniteGames,WarnerBrosInteractiveEntertainment,WheretheWildThingsAre
WhiteMenCantJump,,HighVoltageSoftware,AtariCorporation,WhiteMenCantJump
WhoFramedRogerRabbit,,BuenaVistaSoftware,BuenaVistaSoftware,WhoFramedRogerRabbit
WildWildWestTheSteelAssassin,,SouthPeakInteractive,SouthPeakInteractive,WildWildWest
Willow,,BrianARiceInc,Mindscape,Willow
TheWizardofOz,,ManleyAssociates,SETACorporation,TheWizardofOz
TheWorldIsNotEnough,,Eurocom,EAGames,TheWorldIsNotEnough
TheWorldofCarsOnline,,DisneyInteractiveStudios,TheWaltDisneyCompany,Carsfilmseries
