Game,Year,Developer,Publisher,Film
BillTedsExcellentAdventure,,MevDincFocusasSoftwareStudios,ElectricDreamsSoftware,BillTedsExcellentAdventureandBillTedsBogusJourney
TheBlackCauldron,,SierraOnLine,SierraOnLine,TheBlackCauldron
Blade,,HammerHeadPlayStation,Activision,Blade
BladeII,,MuckyFootProductions,Activision,BladeII
BladeRunner,,WestwoodStudios,VirginInteractive,BladeRunner
BlairWitch,,TerminalRealityVolI,GatheringofDevelopers,BlairWitchmediafranchise
BlazingLazers,,Compile,HudsonSoft,Gunhed
BloodwingsPumpkinheadsRevenge,,nan,nan,PumpkinheadIIBloodWings
Bolt,,AvalancheSoftwareAltron,DisneyInteractiveStudios,Bolt
BramStokersDracula,,ProbeEntertainment,SonyImagesoft,BramStokersDracula
Brave,,BehaviourInteractive,DisneyInteractiveStudios,Brave
Braveheart,,RedLemonStudios,Eidos,Braveheart
ABugsLife,,TravellersTales,SonyComputerEntertainmentPS,ABugsLife
Cars,,LocomotiveGamesPSP,THQ,Cars
CarsMaterNationalChampionship,,RainbowStudiosPlayStationXboxMicrosoftWindows,THQ,Cars
CarsRaceORama,,IncineratorStudiosPlayStationPlayStationXboxWii,THQ,Cars
Cars,,AvalancheSoftware,DisneyInteractiveStudios,Cars
CarsDriventoWin,,AvalancheSoftware,WarnerBrosInteractiveEntertainment,Cars
Casper,,Funcom,InterplayProductions,Casper
TheCatintheHat,,MagentaSoftwarePSXbox,VivendiUniversalGamesf,TheCatintheHat
Catwoman,,ArgonautGamesg,ElectronicArts,Catwoman
ChaosIslandTheLostWorld,,DreamWorksInteractive,DreamWorksInteractive,TheLostWorldJurassicPark
CharlieandtheChocolateFactory,,HighVoltageSoftware,GlobalStarSoftware,CharlieandtheChocolateFactory
CharliesAngels,,NekoEntertainment,UbiSoft,CharliesAngelsandCharliesAngelsFullThrottle
CharlottesWeb,,BackboneEntertainment,Sega,CharlottesWeb
TheCheetahGirls,,GorillaSystems,BuenaVistaGames,TheCheetahGirlsandTheCheetahGirls
TheCheetahGirlsPassporttoStardom,,HandheldGames,DisneyInteractiveStudios,TheCheetahGirlsOneWorld
ChickenLittle,,AvalancheSoftwarePSGCXboxMicrosoftWindows,BuenaVistaGames,ChickenLittle
ChickenRun,,BlitzGames,EidosInteractive,ChickenRun
ChopakiNiePacz,,LArt,nan,BoysDontCry
ChJikYsaiMacrossAiOboeteImasuka,,Scarab,Bandai,MacrossDoYouRememberLove
PrinceCaspian,,TravellersTales,DisneyInteractiveStudios,TheChroniclesofNarniaPrinceCaspian
TheLiontheWitchandtheWardrobe,,TravellersTales,BuenaVistaGames,TheChroniclesofNarniaTheLiontheWitchandtheWardrobe
TheVoyageoftheDawnTreader,,FoxDigitalEntertainment,Gameloft,TheChroniclesofNarniaTheVoyageoftheDawnTreader
TheChroniclesofRiddickEscapefromButcherBay,,StarbreezeStudios,VivendiUniversalGamesh,TheChroniclesofRiddick
TheCityofLostChildren,,Psygnosis,Psygnosis,TheCityofLostChildren
ClashoftheTitans,,GameRepublic,Bandai,ClashoftheTitans
Cliffhanger,,Spidersoft,SonyImagesoft,Cliffhanger
CliveBarkersNightbreedTheInteractiveMovie,,ImpactSoftware,OceanSoftware,Nightbreed
CloakDagger,,Atari,Atari,CloakDagger
CloudywithaChanceofMeatballs,,UbisoftShanghai,Ubisoft,CloudywithaChanceofMeatballs
Cobra,,OceanSoftware,OceanSoftware,Cobra
ComputerizedColoringBooks,,CapstoneSoftware,IntraCorp,FernGullyTheLastRainforestRockaDoodleandHomeAlone
CongoTheMovieTheLostCityofZinj,,JumpinJack,Sega,Congo
Constantine,,BitsStudios,SCiGames,Constantine
CoolWorld,,Twilight,Ocean,CoolWorld
Coraline,,PapayaStudioPSWii,DPublisher,Coraline
CreedRisetoGlory,,SurviosInc,SurviosInc,Rockyfranchise
CityofAngels,,GrayMatter,AcclaimEntertainment,TheCrowCityofAngels
CuriousGeorge,,MonkeyBarGames,Namco,CuriousGeorge
CutthroatIsland,,SoftwareCreations,AcclaimEntertainment,CutthroatIsland
Cyberwar,,SalesCurveInteractive,InterplayProductions,TheLawnmowerMan
TheDarkCrystal,,SierraOnLine,SierraVenture,TheDarkCrystal
Darkman,,OceanSoftware,OceanSoftware,Darkman
Daredevil,,GriptoniteGames,EncoreSoftware,Daredevil
DaysofThunder,,BeamSoftwareNES,MindscapeGroup,DaysofThunder
DemolitionMan,,AcclaimEntertainment,Acclaim,DemolitionMan
DennistheMenace,,OceanSoftware,OceanSoftware,DennistheMenace
DespicableMeTheGame,,ViciousCycleSoftware,DPublisher,DespicableMe
DickTracy,,various,various,DickTracy
DieHardArcade,,AM,Sega,FirstthreefilmsintheDieHardfilmseries
DieHard,,PackInVideo,Activision,DieHard
DieHardNakatomiPlaza,,PiranhaGames,SierraEntertainment,DieHard
DieHardTrilogy,,ProbeEntertainment,FoxInteractive,FirstthreefilmsintheDieHardfilmseries
DinoCity,,Irem,Irem,AdventuresinDinosaurCity
DirtyHarry,,GrayMatterInc,Mindscape,DirtyHarryfilmseries
DisneysActivityCenter,,DisneySoftwareDisneyInteractive,DisneySoftwareDisneyInteractive,variousDisneyfilms
DisneysAnimatedStorybook,,MediaStationIncmostentries,DisneyInteractive,variousDisneyfilms
DisneysAladdin,,SIMS,Sega,Aladdin
DisneysBeautyandtheBeast,,ProbeEntertainment,HudsonSoft,BeautyandtheBeast
DisneysBeautyandtheBeastMagicalBallroom,,CreativeCapersEntertainment,DisneyInteractiveStudios,BeautyandtheBeastfranchise
DisneysBeautyandtheBeastABoardGameAdventure,,nan,nan,BeautyandtheBeastfranchise
DisneysBrotherBear,,KnowWonderDigitalMediaworksPC,DisneyInteractive,BrotherBear
DisneysChickenLittleAceinAction,,AvalancheSoftware,BuenaVistaGames,ChickenLittle
DisneysHerbieFullyLoaded,,ClimaxHandheldGames,BuenaVistaGames,HerbieFullyLoaded
DisneysLiloStitch,,DigitalEclipse,DisneyInteractive,LiloStitch
DisneysPocahontas,,FuncomMegaDriveGenesis,MegaDriveGenesis,Pocahontas
DisneysPrintStudio,,DisneyInteractive,DisneyInteractive,variousDisneyfilms
DisneysStitchExperiment,,HighVoltageSoftware,SonyComputerEntertainment,LiloStitch
DisneysTarzan,,Eurocom,DisneyInteractive,Tarzan
TheKingisBack,,Gameshastra,ExcelEntertainment,Don
DoubleDragon,,TechnsJapan,TechnsJapan,DoubleDragon
DrSeussHowtheGrinchStoleChristmas,,BlackLanternStudiosInc,NADSIGames,HowtheGrinchStoleChristmas
TheBruceLeeStory,,VirginInteractiveEntertainment,VirginInteractiveEntertainmentEurope,DragonTheBruceLeeStory
DragonballEvolution,,Dimps,NamcoBandaiGamesi,DragonballEvolution
Driven,,CrawfishInteractive,BAMEntertainment,Driven
ETtheExtraTerrestrial,,AtariInc,AtariInc,ETtheExtraTerrestrial
Elfvideogame,,JollifordManagementLimited,CraveEntertainment,Elf
TheEmperorsNewGroove,,ArgonautGamesPSWin,SonyComputerEntertainmentPS,TheEmperorsNewGroove
Enchanted,,Altron,DisneyInteractive,Enchanted
Eragon,,StormfrontStudios,VivendiGamesj,Eragon
TheEvilDead,,PalaceVirginGold,PalaceSoftware,TheEvilDead
Fantasia,,Infogrames,Sega,Fantasia
FantasiaMusicEvolved,,Harmonix,DisneyInteractive,FantasiaandFantasia
FantasticFour,,Studios,Activision,FantasticFour
RiseoftheSilverSurfer,,StudiosWiiPS,KGames,FantasticFourRiseoftheSilverSurfer
TheFifthElement,,KalistoEntertainment,JPHudsonSoft,TheFifthElement
FightClub,,GenuineGames,VivendiUniversalGamesk,FightClub
FindingNemo,,KnowWonderPCMac,THQ,FindingNemo
Firefox,,nan,AtariInc,Firefox
TheFlintstones,,OceanSoftwareSNES,OceanSoftware,TheFlintstones
FlushedAway,,MonkeyBarGamesPSGCN,DPublisher,FlushedAway
Fridaytheth,,Domark,Domark,Fridaythethfranchise
FridaythethTheGame,,IllFonic,GunMedia,Fridaythethfranchise
FromDuskTillDawn,,GameSquad,CryoInteractive,FromDusktillDawn
FrozenOlafsQuest,,stPlayableProductions,GameMillEntertainment,Frozen
GarfieldGetsReal,,ZushiGames,GravityI,GarfieldGetsReal
GForce,,EurocomPCPSPSXWii,DisneyInteractiveStudios,GForce
GIJoeTheRiseofCobra,,DoubleHelixGamesPSPSPSPXWii,ElectronicArts,GIJoeTheRiseofCobra
,,nan,FXLabsandGeethaArts,Ghajini
GhostRider,,ClimaxAction,KGames,GhostRider
Ghostbusters,,Activision,Activision,Ghostbusters
